segment_id,line,midpoint,midpoint_x,midpoint_y,date,section_id,dfbsec_beg,dfbsec_end,individuals,bss,se_length
s01-r10000m,"LINESTRING (580092.7569460695 4742883.408069062, 579997.1352812034 4742882.296655336, 579616.2832056836 4742877.883176729, 579166.7797354639 4742872.701240047, 578880.7321019899 4742869.418923003, 578485.1691263337 4742864.899526646, 578104.3172113626 4742860.569679985, 577708.541307238 4742874.972752315, 577272.9330040172 4742870.071224276, 576932.1287953567 4742866.255660213, 576537.3843916166 4742861.857278601, 576101.776226778 4742857.029844163, 575760.9721258391 4742853.272248088, 575325.3640515825 4742848.49393325, 574929.8025419103 4742844.178775362, 574494.1945636009 4742839.45304402, 574207.9446589648 4742855.24268001, 573813.2016233532 4742851.000461769, 573431.5350001702 4742846.920290781, 573036.7920441488 4742842.7225835305, 572655.1254975148 4742838.685448923, 572260.3826202477 4742834.532252404, 571878.7161493537 4742830.53815393, 571443.1097084251 4742826.005430648, 571047.366382845 4742839.680657139, 570652.6246845495 4742835.619618698, 570257.883025087 4742831.5812100945, 570093.6421002211 4742829.909713786)",POINT (575093.0208857555 4742845.9593149405),575093.0208857555,4742845.9593149405,2019-01-25,s001,0.0,10000.58028251031,1.0,2.0,10000.580282510362
s02-r10000m,"LINESTRING (570093.6421002211 4742829.909713786, 569917.081250786 4742828.112836373, 569522.3396631093 4742824.116595, 569126.7808434006 4742820.134779816, 568745.932924943 4742816.32252015, 568350.3741799216 4742812.385306609, 567955.6327426453 4742808.478880699, 567506.1342570607 4742804.058125349, 567111.2089367758 4742819.077911725, 566715.6514306932 4742815.234593823, 566320.911228897 4742811.421869308, 565926.1710635581 4742807.631773954, 565476.6740249927 4742803.343485738, 565162.8433930266 4742800.366875699, 564700.2701590366 4742796.005554909, 564386.4395828891 4742793.064330339, 564236.8797068222 4742791.667685379, 563936.9427028705 4742788.876553159, 563528.3092151417 4742785.094945241, 563065.5632797747 4742799.721224955, 562656.9309918205 4742795.991315583, 562248.2987407766 4742792.285655773, 561839.666526406 4742788.604245463, 561444.110577599 4742785.063738164, 561090.235139755 4742781.915557813, 560681.6030280091 4742778.302870245, 560272.9709520122 4742774.714431937, 560093.9875613516 4742773.153294805)",POINT (565093.8595398971 4742799.716469037),565093.8595398971,4742799.716469037,2019-01-25,s001,10000.58028251031,20001.16056502062,0.0,2.0,10000.58028251029
s03-r10000m,"LINESTRING (560093.9875613516 4742773.153294805, 559864.3389115273 4742771.150242829, 559455.7069063139 4742767.61030286, 559006.0595111101 4742781.511700369, 558597.4286335296 4742778.022681887, 558147.9347080565 4742774.212769108, 557847.9996935922 4742771.686839621, 557385.4296527497 4742767.81687501, 557044.6316115287 4742764.985561696, 556581.2443843249 4742761.162848452, 556186.5071505336 4742757.93105853, 555777.8765062712 4742754.6093566995, 555383.139335125 4742751.423618634, 554987.5849332996 4742748.253982798, 554592.8478229009 4742745.113546814, 554184.2173054513 4742741.886414062, 553789.4802559162 4742738.792029519, 553448.6824543397 4742736.1386808995, 553040.0520256835 4742732.979443376, 552645.3150612814 4742729.950645478, 552195.8216587947 4742726.529256936, 551841.1305274828 4742723.850180921, 551446.3936503335 4742720.890108025, 550996.9003464036 4742717.546977588, 550643.0265527263 4742714.935663904, 550247.4725003649 4742712.038305873, 550093.9263559841 4742710.922575097)",POINT (555094.0705854851 4742749.107268055),555094.0705854851,4742749.107268055,2019-01-25,s001,20001.16056502062,30001.740847530928,2.0,2.0,10000.580282510296
s04-r10000m,"LINESTRING (550093.9263559841 4742710.922575097, 549838.8423101195 4742709.06902728, 549444.1055742338 4742706.2237293245, 548994.6124298216 4742703.011294703, 548599.8757518252 4742700.214389254, 548395.5607116133 4742698.775602389, 548204.3218404367 4742697.434390256, 547754.8287916112 4742694.302879686, 547441.8181977458 4742692.139538778, 547047.0816236358 4742689.431641289, 546651.5278154925 4742686.740834357, 546188.9587254112 4742683.622967371, 545793.4049728825 4742680.981450504, 545384.775089802 4742678.276470113, 544881.3431105971 4742674.977272113, 544581.4088174269 4742673.029173395, 544227.5354052607 4742670.747533833, 543818.9056233764 4742668.135468688, 543410.2758673204 4742665.547650629, 542960.7831652004 4742662.729056093, 542552.1534625973 4742660.192156768, 542143.5237850755 4742657.679504392, 541747.9702808977 4742655.270352363, 541339.3406520333 4742652.805417857, 540876.7719415501 4742650.044370928, 540576.8378295441 4742648.270685509, 540168.2082698726 4742645.875242288, 540093.5613269579 4742645.442377578)",POINT (545093.7557138522 4742676.369299765),545093.7557138522,4742676.369299765,2019-01-25,s001,30001.740847530928,40002.32113004124,5.0,2.8461538461538463,10000.580282510324
s05-r10000m,"LINESTRING (540093.5613269579 4742645.442377578, 539704.8223778422 4742643.188147651, 539296.0851548617 4742659.722164375, 538887.456788728 4742657.402709126, 538478.8284455158 4742655.1075004665, 538070.2001249845 4742652.836538358, 537716.3280175444 4742650.8894758215, 537307.6997386918 4742648.663757673, 536898.9703386582 4742665.339997965, 536504.2365452321 4742663.23639918, 536054.7467427868 4742660.8685479965, 535659.1957379156 4742658.809107408, 535250.5686874485 4742656.705444498, 534855.9305189638 4742635.818622736, 534406.4395771174 4742633.558363054, 534093.4304448549 4742632.001728618, 533643.9395444512 4742629.791236623, 533289.2503781785 4742628.067666387, 532894.5156782512 4742626.170977231, 532485.8876435542 4742624.231364771, 532036.3968274991 4742622.125795221, 531627.7688327415 4742620.237099373, 531219.0552831265 4742637.250348586, 530824.3217577053 4742635.472312568, 530415.6949376541 4742633.655529295, 530094.6703406562 4742632.24823193)",POINT (535094.2242521172 4742648.430678865),535094.2242521172,4742648.430678865,2019-01-25,s001,40002.32113004124,50002.901412551546,0.0,3.0,10000.580282510356
s06-r10000m,"LINESTRING (530094.6703406562 4742632.24823193, 529966.2054562966 4742631.685071677, 529666.273396101 4742630.386558391, 529230.677260034 4742628.523968103, 528794.3428168644 4742607.807818449, 528508.303317681 4742606.617842141, 528127.4621686791 4742605.051912844, 527691.0476508248 4742603.283373246, 527296.2383667212 4742620.585250048, 526955.4437201832 4742619.2429622635, 526751.1303882387 4742618.446319293, 526560.7103664165 4742617.709305199, 526111.2210579618 4742615.990455091, 525716.4877351803 4742614.505186299, 525266.9984614428 4742612.841436644, 524967.0665379213 4742611.747581002, 524585.4093060937 4742610.374558226, 524190.6760367958 4742608.976744056, 523795.94278080383 4742607.601554675, 523400.39228482737 4742606.246213187, 523005.65905482665 4742604.916320158, 522570.06318629935 4742603.475016148, 522174.51272967464 4742602.190083247, 521738.9168897446 4742600.801349063, 521438.9850534746 4742599.861145169, 521044.2518842218 4742598.643672924, 520649.51872654865 4742597.448825301, 520253.96832735545 4742596.274198789, 520095.02073827136 4742595.811307692)",POINT (525095.2838615496 4742612.215191256),525095.2838615496,4742612.215191256,2019-01-25,s001,50002.901412551546,60003.481695061855,0.0,3.0,10000.58028251025
s07-r10000m,"LINESTRING (520095.02073827136 4742595.811307692, 519859.23519220785 4742595.124647198, 519409.74612820946 4742593.843183835, 519015.0130161657 4742592.742019755, 518660.32530122914 4742591.771866064, 518265.5922088606 4742590.713655784, 517870.85912654124 4742589.67807, 517407.47682504373 4742588.491251008, 517162.30100950645 4742587.875916753, 517066.68244243873 4742587.638302182, 516604.11741630576 4742586.507561535, 516208.5671212375 4742585.565281127, 515799.94079275953 4742584.615708081, 515405.207768297 4742583.721443071, 514996.5814579025 4742582.819535749, 514601.848450462 4742581.971315797, 514247.1608274451 4742581.228445092, 513852.4278350719 4742580.42317862, 513443.8384068668 4742560.735729586, 512994.3482780604 4742559.872978874, 512599.61422714527 4742559.139520361, 512204.0629284225 4742558.427237895, 511795.43556078564 4742557.71526588, 511400.70153025637 4742557.050523326, 510992.07417606685 4742556.386216747, 510638.20289258374 4742555.830516567, 510242.65162515145 4742555.230885493, 510094.93858868827 4742555.015585674)",POINT (515094.7470272937 4742583.03620375),515094.7470272937,4742583.03620375,2019-01-25,s001,60003.481695061855,70004.06197757216,0.0,2.3461538461538463,10000.58028251027
s08-r10000m,"LINESTRING (510094.93858868827 4742555.015585674, 509834.0242887025 4742554.63528883, 509371.4581508291 4742553.990329938, 508962.8308264524 4742553.446423249, 508513.3407757348 4742552.876128651, 508199.5149984893 4742552.4953504205, 507736.97009111644 4742533.082503971, 507287.47882415133 4742532.592217423, 506973.65219722566 4742532.2672993345, 506565.0237803702 4742531.865661276, 506170.28873336554 4742531.500701198, 505761.6603238905 4742531.146728326, 505298.27571164607 4742530.774658693, 504944.403514896 4742530.511516803, 504549.68021748203 4742512.472226858, 504086.2944195833 4742512.181703151, 503677.66497075657 4742511.951378518, 503336.868012104 4742511.777829592, 502928.23856707086 4742511.591969751, 502465.67003736435 4742511.410832783, 502124.8730829444 4742511.297256622, 501716.24364233087 4742511.183306561, 501307.6142027295 4742511.093601197, 500898.98722799233 4742492.150475531, 500504.25010862795 4742492.110262769, 500095.6195505685 4742492.092467173)",POINT (505095.05848548096 4742530.623544914),505095.05848548096,4742530.623544914,2019-01-25,s001,70004.06197757216,80004.64226008247,0.0,2.0,10000.580282510326
s09-r10000m,"LINESTRING (592927.5664739687 4733678.432117045, 592818.4664949741 4733695.84619529, 592436.2779722192 4733690.720666673, 591999.8390516912 4733702.663833951, 591562.8195914576 4733696.85648082, 591071.7865661818 4733690.364363578, 590690.1697637638 4733704.223912923, 590253.1516885879 4733698.499431623, 589762.1202184671 4733692.100428414, 589325.920662092 4733686.445268033, 588889.721167736 4733680.817663094, 588493.3807480949 4733694.6089450205, 588002.3509013925 4733688.3350631865, 587498.22700599 4733681.930205063, 587170.8738706381 4733677.790915521, 586665.9317261537 4733671.43649271, 586160.9896623058 4733665.118994267, 585820.542546219 4733660.880386703, 585370.4322320914 4733655.302224564, 584920.1035313634 4733667.520588103, 584415.1630418926 4733661.330735017, 583978.9665396832 4733656.013310305, 583528.8576398082 4733650.555173113, 583132.7618590157 4733645.77628223, 582682.4270882107 4733659.250925853, 582643.5978019278 4733658.787359549)",POINT (587786.4167486212 4733685.591635182),587786.4167486212,4733685.591635182,2019-03-03,s002,0.0,10287.022252470311,0.0,3.0,10287.022252470313
s10-r10000m,"LINESTRING (582643.5978019278 4733658.787359549, 582232.3195958076 4733653.877284283, 581796.1245748199 4733648.6977302665, 581278.0919125822 4733642.582195427, 580773.1533594937 4733636.658641097, 580431.8902308776 4733632.676111332, 579981.5644346396 4733646.326773465, 579531.4585325404 4733641.129164428, 579081.3526892475 4733635.960894193, 578577.2342141632 4733630.20726242, 578127.1284944384 4733625.101190088, 577677.0228324861 4733620.024456223, 577226.7185694197 4733632.744207261, 576789.7081251577 4733627.871713357, 576339.6037909512 4733622.882138559, 575958.2427083391 4733618.67756706, 575453.3076030216 4733613.142973265, 575003.2034354479 4733608.24050555, 574567.011631429 4733603.517560228, 574184.8323635405 4733599.402090678, 573734.7283514233 4733594.582301851, 573298.5366971637 4733589.939479617, 572861.3275808007 4733604.19314722, 572411.2249584682 4733599.4596080445, 572357.7596042173 4733598.90097864)",POINT (577500.6681060242 4733625.005950734),577500.6681060242,4733625.005950734,2019-03-03,s002,10287.022252470311,20574.044504940623,0.0,3.0,10287.022252470282
